Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.55927,-0.48502,-0.20699,0,0,0,28.563,1.4273,4.2352E-17,3.348E-18,9.1536,8.4264E-17,10.577,0,0,0,0,0,0,package://mango_5/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mango_5/meshes/base_link.STL,,Basebase-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm1_base_link,1.1102E-16,-0.061494,3.817E-09,0,0,0,12.326,0.08948,-3.9642E-17,1.4073E-20,0.10835,3.4843E-09,0.08948,0,0,0,0,0,0,package://mango_5/meshes/arm1_base_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://mango_5/meshes/arm1_base_link.STL,,Base-2,Origin_arm1_base_joint,,arm1_base_joint,fixed,-0.090731,-0.48502,-0.19199,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
arm1_link1,-7.7923E-08,0.21472,1.5467E-08,0,0,0,6.5885,0.11783,3.2015E-08,-9.8953E-09,0.013183,-4.8087E-09,0.11739,0,0,0,0,0,0,package://mango_5/meshes/arm1_link1.STL,1,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm1_link1.STL,,Link_1-1,Origin_arm1_joint1,Axis_arm1_joint1,arm1_joint1,revolute,0,-0.15,0,3.14159265358979,0.011940527673363,0,arm1_base_link,0,1,0,100000,100,-6,6,,,,,,,,
arm1_link2,4.903E-09,0.1606,-1.9773E-08,0,0,0,7.0596,0.11953,-3.9571E-07,5.6187E-08,0.020135,2.0369E-07,0.12624,0,0,0,0,0,0,package://mango_5/meshes/arm1_link2.STL,1,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm1_link2.STL,,Link_2-1,Origin_arm1_joint2,Axis_arm1_joint2,arm1_joint2,revolute,0,0.36,0,0.55343,1.5708,0,arm1_link1,1,0,0,100000,100,-3.14,3.14,,,,,,,,
arm1_link3,-2.7561E-07,0.17228,-4.1564E-07,0,0,0,5.7914,0.1009,-1.0674E-08,5.6588E-08,0.014012,-7.9629E-09,0.1076,0,0,0,0,0,0,package://mango_5/meshes/arm1_link3.STL,0.98824,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm1_link3.STL,,Link_3-1,Origin_arm1_joint3,Axis_arm1_joint3,arm1_joint3,revolute,0,0.350000000000009,0,1.88217697673079,0,0,arm1_link2,1,0,0,100000,100,-3.14,3.14,,,,,,,,
arm1_link4,1.2078E-07,0.077553,4.284E-09,0,0,0,2.3579,0.010694,-6.9438E-09,-1.041E-08,0.0059505,-2.0735E-09,0.0079627,0,0,0,0,0,0,package://mango_5/meshes/arm1_link4.STL,1,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm1_link4.STL,,Link_4-1,Origin_arm1_joint4,Axis_arm1_joint4,arm1_joint4,revolute,0,0.350000000000018,0,1.5707963267949,0.286073040189066,1.5707963267949,arm1_link3,0,0,1,100000,100,-3.14,3.14,,,,,,,,
arm1_link5,-1.904E-05,-3.8652E-06,-0.0145,0,0,0,0.66998,0.0009317,-1.1406E-07,1.7813E-07,0.0020563,3.6277E-08,0.0013837,0,0,0,0,0,0,package://mango_5/meshes/arm1_link5.STL,1,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm1_link5.STL,,End-1,Origin_arm1_joint5,Axis_arm1_joint5,arm1_joint5,revolute,0,0.21966,0,-1.5708,0.012272,0,arm1_link4,0,0,1,100000,100,-3.14,3.14,,,,,,,,
arm2_base_link,5.5511E-17,0.061494,9.9177E-09,0,0,0,12.326,0.08948,3.9545E-17,-7.899E-20,0.10835,-1.6874E-09,0.08948,0,0,0,0,0,0,package://mango_5/meshes/arm2_base_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://mango_5/meshes/arm2_base_link.STL,,Base-3,Origin_arm2_base_joint,Axis_arm2_base_joint,arm2_base_joint,fixed,1.20926922286017,-0.485015913029201,-0.191989627797157,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
arm2_link1,-7.7923E-08,0.21472,1.5467E-08,0,0,0,6.5885,0.11783,3.2015E-08,-9.8953E-09,0.013183,-4.8087E-09,0.11739,0,0,0,0,0,0,package://mango_5/meshes/arm2_link1.STL,1,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm2_link1.STL,,Link_1-2,Origin_arm2_joint1,Axis_arm2_joint1,arm2_joint1,revolute,0,0.15,0,0,-1.5701064071066,0,arm2_base_link,0,1,0,100000,100,-6,6,,,,,,,,
arm2_link2,3.3481E-08,0.1606,9.2353E-08,0,0,0,7.0596,0.11953,-4.1669E-07,6.1743E-08,0.020135,1.5479E-07,0.12624,0,0,0,0,0,0,package://mango_5/meshes/arm2_link2.STL,1,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm2_link2.STL,,Link_2-2,Origin_arm2_joint2,Axis_arm2_joint2,arm2_joint2,revolute,0,0.36,0,1.14655709619566,1.5707963267949,0,arm2_link1,1,0,0,100000,100,-3.14,3.14,,,,,,,,
arm2_link3,-3.5146E-07,0.17228,-2.708E-07,0,0,0,5.7914,0.1009,-3.6212E-09,5.6558E-08,0.014012,4.8347E-09,0.1076,0,0,0,0,0,0,package://mango_5/meshes/arm2_link3.STL,0.98824,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm2_link3.STL,,Link_3-2,Origin_arm2_joint3,Axis_arm2_joint3,arm2_joint3,revolute,0,0.35,0,-1.7176,0,0,arm2_link2,1,0,0,100000,100,-3.14,3.14,,,,,,,,
arm2_link4,4.5747E-06,0.1033,-7.2535E-06,0,0,0,3.2794,0.019376,-2.823E-06,-5.5145E-08,0.0088537,3.7408E-06,0.014767,0,0,0,0,0,0,package://mango_5/meshes/arm2_link4.STL,1,0.54902,0.29412,1,0,0,0,0,0,0,package://mango_5/meshes/arm2_link4.STL,,Link_End-1,Origin_arm2_joint4,Axis_arm2_joint4,arm2_joint4,revolute,0,0.350000000000017,0,1.57079632679473,0.308474059376602,1.57079632679489,arm2_link3,0,0,1,100000,100,-3.14,3.14,,,,,,,,
